path,currency,label
data\THB\THAI50\THAI50_153.jpg,THB,THAI50
data\THB\THAI100\THAI100_12.jpg,THB,THAI100
data\THB\THAI500\THAI500_58.jpg,THB,THAI500
data\THB\THAI100\THAI100_16.jpg,THB,THAI100
data\THB\THAI500\THAI500_108.jpg,THB,THAI500
data\THB\THAI500\THAI500_10.jpg,THB,THAI500
data\THB\THAI500\THAI500_158.jpg,THB,THAI500
data\THB\THAI500\THAI500_23.jpg,THB,THAI500
data\THB\THAI100\THAI100_121.jpg,THB,THAI100
data\THB\THAI500\THAI500_126.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_160.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_143.jpg,THB,THAI1000
data\THB\THAI500\THAI500_54.jpg,THB,THAI500
data\THB\THAI500\THAI500_52.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_31.jpg,THB,THAI1000
data\THB\THAI20\THAI20_67.jpg,THB,THAI20
data\THB\THAI50\THAI50_2.jpg,THB,THAI50
data\THB\THAI20\THAI20_74.jpg,THB,THAI20
data\THB\THAI50\THAI50_56.jpg,THB,THAI50
data\THB\THAI20\THAI20_9.jpg,THB,THAI20
data\THB\THAI20\THAI20_27.jpg,THB,THAI20
data\THB\THAI1000\THAI1000_128.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_129.jpg,THB,THAI1000
data\THB\THAI500\THAI500_127.jpg,THB,THAI500
data\THB\THAI50\THAI50_32.jpg,THB,THAI50
data\THB\THAI500\THAI500_99.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_99.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_58.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_35.jpg,THB,THAI1000
data\THB\THAI50\THAI50_86.jpg,THB,THAI50
data\THB\THAI1000\THAI1000_114.jpg,THB,THAI1000
data\THB\THAI100\THAI100_89.jpg,THB,THAI100
data\THB\THAI50\THAI50_39.jpg,THB,THAI50
data\THB\THAI500\THAI500_106.jpg,THB,THAI500
data\THB\THAI100\THAI100_135.jpg,THB,THAI100
data\THB\THAI20\THAI20_109.jpg,THB,THAI20
data\THB\THAI100\THAI100_9.jpg,THB,THAI100
data\THB\THAI500\THAI500_95.jpg,THB,THAI500
data\THB\THAI500\THAI500_47.jpg,THB,THAI500
data\THB\THAI500\THAI500_13.jpg,THB,THAI500
data\THB\THAI1000\THAI1000_104.jpg,THB,THAI1000
data\THB\THAI1000\THAI1000_148.jpg,THB,THAI1000
data\THB\THAI50\THAI50_88.jpg,THB,THAI50
data\THB\THAI20\THAI20_19.jpg,THB,THAI20
data\THB\THAI100\THAI100_87.jpg,THB,THAI100
data\THB\THAI500\THAI500_17.jpg,THB,THAI500
data\THB\THAI100\THAI100_7.jpg,THB,THAI100
data\THB\THAI1000\THAI1000_8.jpg,THB,THAI1000
